no_nomina,fecha_antiguedad
102,4/1/2011
107,4/1/2011
133,12/5/2016
187,5/29/2018
352,9/11/2015
403,1/17/2018
437,8/3/2018
505,6/22/2020
513,8/14/2017
530,1/2/2018
568,8/3/2018
595,11/30/2018
678,8/28/2019
808,7/1/2016
824,2/22/2021
870,3/22/2022
873,5/3/2022
813,5/18/2022
321,5/24/2022
898,12/19/2022
901,2/20/2023
971,3/5/2024
972,3/5/2024
979,8/5/2024
980,11/4/2024
800,2/13/2025
733,2/17/2025
696,6/18/2025
1011,4/15/2026
1010,2/20/2026
1009,4/7/2026
1008,4/7/2026
1007,3/23/2026
1006,3/23/2026
1002,3/2/2026
992,1/12/2026
928,3/13/2026
895,4/7/2026
748,3/27/2026
570,3/12/2025
